STT,LINK,,TEXT(viết promp vào cái này nhé),CHAT GPT
1,https://www.tiktok.com/@lovepets.tv/video/7316185778638392608?is_from_webapp=1&sender_device=pc,,"viết khác: ""Hello everyone, Join us as we embark on a delightful journey into the enchanting world of adorable pets, where each furry companion brings boundless happiness and affection.","Greetings to all! Come and join us on a captivating expedition through the captivating realm of charming pets, where every fluffy friend brings immeasurable joy and love."
2,https://www.tiktok.com/@tianyuanmengchong/video/7319876665956420906?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh những chú thỏ thích ăn rau củ,The adorable bunnies love munching on fresh vegetables and leafy greens in their peaceful garden.
3,https://www.tiktok.com/@rubiishop/video/7310820281185012993?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú chuột hamster ăn rau,"The adorable hamster happily munches on its fresh and nutritious vegetables, savoring every bite."
4,https://www.tiktok.com/@lovepets.tv/video/7315024227071970592?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh những chú chó con thân thiết,"A heartwarming scene of adorable puppies playing together, forming an inseparable bond with each other."
5,https://www.tiktok.com/@hamstergnaw/video/7294116993530170656?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú chuột hamster ăn bữa sáng ngon lành,"The adorable hamster happily munches on its delicious and nutritious breakfast, enjoying every bite."
6,https://www.tiktok.com/@tianyuanmengchong/video/7329103069650636078?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú thỏ ăn trái cây có niềm đam mê bất tận với trái cây,The bunny's endless passion for fruits is evident as it indulges in the deliciousness of the colorful array.
7,https://www.tiktok.com/@bunquystoc/video/7293088196089449729?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chó con xem ti vi,"The adorable puppy sat in front of the television, captivated by the colorful images on the screen."
8,https://www.tiktok.com/@tianyuanmengchong/video/7334173708073848107?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú thỏ ăn trái cây,The little rabbit is happily munching on the delicious fruits in the garden.
9,https://www.tiktok.com/@tianyuanmengchong/video/7330484918176320810?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú thỏ ăn ngon lành,The scene of the bunny enjoying a delicious meal is truly delightful to watch.
10,https://www.tiktok.com/@rubiishop/video/7308586019568274689?is_from_webapp=1&sender_device=pc,,dịch sang tiếng anh: cùng xem những bộ đồ mà chú chuột này có nhé,Let's take a look at the outfits that this little mouse has.
11,https://www.tiktok.com/@lovepets.tv/video/7316438329178803488?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú chó rất thích thể hiện tài năng của mình cho mọi người thấy,The dog loves to showcase its talents to impress everyone with its amazing skills.
12,https://www.tiktok.com/@rubiishop/video/7310465800282885378?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú chuột hamster ăn trái cây,"The adorable hamster eagerly nibbled on the juicy slices of fruit, savoring every sweet and refreshing bite."
13,https://www.tiktok.com/@rubiishop/video/7306399728969714945?is_from_webapp=1&sender_device=pc,,chú ấy ăn  bữa tối thật ngon lành,"As an AI language model, I do not have personal experiences or emotions, but I can provide a translation for you:

""He enjoyed a delicious dinner."""
14,https://www.tiktok.com/@tianyuanmengchong/video/7319446033400974638?is_from_webapp=1&sender_device=pc,,so yoummy,"I'm sorry, but I'm not sure what you mean by ""so yoummy."" Could you please provide more context or clarify your question?"
15,https://www.tiktok.com/@tianyuanmengchong/video/7329785272072310062?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú thỏ ăn nho xanh,The little rabbit is happily munching on the juicy green grapes in the garden.
