STT,LINK,,TEXT(viết promp vào cái này nhé),CHAT GPT
1,https://www.tiktok.com/@tianyuanmengchong/video/7298321455249394990?is_from_webapp=1&sender_device=pc,,"viết khác: ""Hello everyone. Join us as we embark on a delightful journey into the enchanting world of adorable pets. where each furry companion brings boundless happiness and affection.",Greetings to all! Come and join us on a captivating expedition through the captivating realm of charming pets. where every fluffy friend brings immeasurable joy and love.
2,https://www.tiktok.com/@tianyuanmengchong/video/7301647842052001067?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú thỏ mải miết ăn trong khi chú lợn đang ngủ,The rabbit was busy eating while the pig was peacefully sleeping.
3,https://www.tiktok.com/@lovely.animals1990/video/7305932336619703554?is_from_webapp=1&sender_device=pc&web_id=7286751695433844225,,,#ERROR
4,https://www.youtube.com/shorts/Pcg7FaQ-ymg,,,#ERROR
5,https://www.tiktok.com/@tianyuanmengchong/video/7335296081590275370?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú thỏ ăn trái lựu,The adorable bunny enjoyed munching on the juicy pomegranate. savoring every sweet and tangy bite.
6,https://www.tiktok.com/@cutedog9999/video/7338677698757201198?is_from_webapp=1&sender_device=pc,,dịch tiếng anh: chào mừng đến với thế giới của những chú chó đáng yêu,Welcome to the world of adorable dogs.
7,https://www.tiktok.com/@penelope_the_mini_pig_/video/7311471285631028523?is_from_webapp=1&sender_device=pc,,VIẾT ĐOẠN VĂN VỀ CON chuột đang ăn dâu tây TRONG 10 CHỮ BẰNG TIẾNG ANH,The mouse eats strawberry.
8,https://www.tiktok.com/@cutedog9999/video/7338311990538095918?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú chó và chú lợn ham ăn,The dog and the pig were both greedy for food. constantly competing to see who could eat the most.
9,https://www.tiktok.com/@rubiishop/video/7331273352251804948?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú chuột hamster ăn bánh,The scene of a hamster munching on a cake is simply adorable and heartwarming.
10,https://www.tiktok.com/@cutedog9999/video/7338776883921964334?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh những chú chó vui đùa trên tuyết,The playful dogs frolic in the snow. chasing each other and rolling around with joy.
11,https://www.tiktok.com/@cutedog9999/video/7338234843827997998?is_from_webapp=1&sender_device=pc,,,#ERROR
12,https://www.tiktok.com/@tianyuanmengchong/video/7338758607346912555?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú thỏ ăn vải thiều,The adorable bunny happily munches on a juicy lychee. enjoying the sweet and refreshing taste.
13,https://www.tiktok.com/@cutedog9999/video/7337901004526013738?is_from_webapp=1&sender_device=pc,,dịch tiếng anh:chú chó này là đội trưởng của tổ đội vịt con,This dog is the captain of the duckling team.
14,https://www.tiktok.com/@onlylovecutepets/video/7153271123881413934?is_from_webapp=1&sender_device=pc,,dịch sang tiếng anh: chú mèo thật là hài hước,The cat is really funny.
15,https://www.tiktok.com/@cutedog9999/video/7339141263469333806?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về những chú chó hài hước,These funny dogs always make me laugh with their silly antics and playful personalities.
16,https://www.tiktok.com/@cutedog9999/video/7338608948003507498?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về tình mẹ con giữa chó mẹ và những chú chú chó con,The mother dog's love for her puppies is an unbreakable bond that exemplifies the true essence of motherhood.
17,https://www.tiktok.com/@cutedog9999/video/7339032885187415338?is_from_webapp=1&sender_device=pc,,dịch tiếng anh: có ai có thể cho tôi biết những bộ quần áo này có thể mua ở đâu không,Translation: Can anyone let me know where I can buy these clothes?
18,https://www.tiktok.com/@honhacho/video/7273112168315374856?is_from_webapp=1&sender_device=pc,,,#ERROR
19,https://www.tiktok.com/@tianyuanmengchong/video/7338378889196211502?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú thỏ đang ngủ ngon thì bị đánh thức,The peaceful sleep of the little rabbit was abruptly interrupted by an unexpected disturbance.
20,https://www.tiktok.com/@nghienpet99/video/7215887062333918490?is_from_webapp=1&sender_device=pc,,dịch sang tiếng anh; những chú chó thật năng động,energetic dogs
21,https://www.tiktok.com/@cutedog9999/video/7338979150931266858?is_from_webapp=1&sender_device=pc,,dịch tiếng anh: những người bạn thân cùng nhau dong chơi và có những giây phút thật vui vẻ,Close friends play together and have moments of great joy.
22,https://www.tiktok.com/@bunquystoc/video/7276303973148052738?is_from_webapp=1&sender_device=pc,,dịch tiếng anh: xem xong video này tôi muốn nuổi 1 chú chó như vậy,After watching this video. I want to raise a dog like that.
23,https://www.tiktok.com/@rubiishop/video/7328965381413031186?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú chuột hamster ăn nấm,The cute hamster is happily munching on the delicious mushroom in its cozy little cage.
24,https://www.tiktok.com/@vtvcpnht/video/7196955843265613102?is_from_webapp=1&sender_device=pc,,so cute,Thank you! I'm glad you think so.
25,https://www.tiktok.com/@cutedog9999/video/7338402157127060782?is_from_webapp=1&sender_device=pc,,dịch tiếng anh: chú chó này có vẻ rất thích tuyết,This dog seems to really enjoy the snow.
26,https://www.tiktok.com/@user7481420771183/video/7144621991872597294?is_from_webapp=1&sender_device=pc,,dịch sang tiếng anh: chiếc mặt nạ làm từ dưa hấu sắp ra đời,The watermelon mask is about to be born.
27,https://www.tiktok.com/@tianyuanmengchong/video/7337217053889350958?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú thỏ ăn nho,The adorable bunny enjoyed munching on juicy grapes. savoring their sweet and refreshing taste.
28,https://www.tiktok.com/@cutedog9999/video/7333411736936074538?is_from_webapp=1&sender_device=pc,,,#ERROR
29,https://www.tiktok.com/@rubiishop/video/7326889052194557202?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú chuột hamster ăn rau,The adorable hamster happily munches on its fresh and nutritious vegetables. savoring every bite.
30,https://www.tiktok.com/@vtvcpnht/video/7188432682299182378?is_from_webapp=1&sender_device=pc,,dịch sang tiếng anh: hãy xem những chú chó với những trò chơi ngộ nghĩnh,Please watch the dogs with their funny games.
31,https://www.tiktok.com/@pest_cute/video/7256312178645486853?is_from_webapp=1&sender_device=pc,,,#ERROR
32,https://www.tiktok.com/@petsau/video/7297219890853760257?is_from_webapp=1&sender_device=pc,,dịch sang tiếng anh: chú mèo này có cách ăn thật độc đáo,This cat has a unique way of eating.
33,https://www.tiktok.com/@cutedog9999/video/7327470619476430122?is_from_webapp=1&sender_device=pc,,,#ERROR
34,https://www.tiktok.com/@tianyuanmengchong/video/7336911255782919466?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú thỏ ăn cherry,The adorable bunny happily munches on the juicy cherry. savoring its sweet and tangy flavor.
35,https://www.tiktok.com/@tianyuanmengchong/video/7336033978782190891?is_from_webapp=1&sender_device=pc,,"viết khác: ""As we wrap up this heartwarming pets video. remember to spread the love - give it a thumbs up. subscribe. and become a part of our wonderful community of pet enthusiasts!viết",As we conclude this heartwarming pets video. don't forget to share the love - show your support by giving it a thumbs up. subscribing. and joining our amazing community of pet lovers!
